trackid,albumid,name,danceability,energy,key,valence,mode,tempo,speechiness,loudness,instrumentalness,acousticness,time_signature,liveness,sent,sent_magn
5WY9CIYqHDr2eLc3q1V2Z7,7HoqZkuUQEE12tl0ByOSsh,"""Graveyard""",0.7051961823966066,0.3336683417085427,0.8181818181818182,0.4994923857868021,1.0,0.4694447351346826,0.03800217155266016,0.5663974074868349,0.8813387423935093,0.0,0.8,0.05327868852459017,,
3Z3Ul44K0thTMfLAlt8tc9,1yBoaVrgcup2hX2DCYUajs,"""Croker Courtbullion""",0.2895015906680806,0.41407035175879386,0.0,0.6446700507614213,0.0,0.37802800393478303,0.06731813246471227,0.5194795911072985,0.0020283975659229213,0.1829145728643216,0.6000000000000001,0.06352459016393441,,
3q3gK9I4mj03565IGtVA0d,5z090LQztiqh13wYspQvKQ,"""Moon, Turn The Tides... Gently, Gently Away""",0.0,0.38994974874371857,0.5454545454545454,0.0,1.0,0.0,0.0,0.4112993542545333,0.9452332657200812,0.4060301507537689,0.0,0.04098360655737704,,
3g5LhwtHomXoYYf3oEUMvM,1yBoaVrgcup2hX2DCYUajs,"""Danse Kalinda Ba Doom""",0.48674443266171796,0.5768844221105528,0.6363636363636364,0.914720812182741,1.0,0.362786998472132,0.04125950054288816,0.5421879095479781,0.0010141987829614604,0.8482412060301507,0.8,0.05327868852459017,,
6bDKcfWj4bUDSOVN5IBJH7,0L8n5dW0KfoNnLuYfyOFPg,"""Nasal Retentive Caliope Music""",0.4984093319194061,0.907537688442211,0.09090909090909093,0.03248730964467005,1.0,0.5566755269051256,0.5428881650380022,0.5825053017847356,0.1511156186612576,0.5296482412060302,0.8,0.35553278688524603,,
26fJRWncO6oFVu31w5rNy3,1yBoaVrgcup2hX2DCYUajs,"""Danse Fambeaux""",0.6903499469777306,0.3748743718592965,0.4545454545454546,0.598984771573604,1.0,0.3834027501622051,0.047774158523344185,0.5374937450854242,0.4016227180527384,0.20201005025125626,0.8,0.02151639344262295,,
6HSfFMep6Sves3K8eEET3E,0Oqi3Mm316FRX5H9mHjF0b,"""Weeping Wall""",0.5418875927889714,0.5336683417085427,0.6363636363636364,0.7045685279187818,0.0,0.5949601289269342,0.031487513572204126,0.5716396216074534,0.07809330628803246,0.6522613065326632,0.6000000000000001,0.08504098360655737,0.0,0.0
0vBCQeiEKRy6eJmrf5zz4H,1CHUXwuge9A7L2KiA3vnR6,"""Singing Winds, Crying Beasts""",0.3297985153764581,0.464321608040201,0.0,0.20710659898477154,1.0,0.5035894430607589,0.05211726384364821,0.5326566111468534,0.8407707910750508,0.9226130653266332,0.8,0.09836065573770493,0.0,0.0
6FBPOJLxUZEair6x4kLDhf,4LH4d3cOWNNsVw41Gqt2kv,"""Any Colour You Like""",0.2937433722163309,0.6723618090452261,0.0,0.5126903553299492,1.0,0.6303522468029886,0.0977198697068404,0.6109800557580956,0.9482758620689656,0.1979899497487437,0.8,0.4129098360655737,0.0,0.0
5ZgS767avJWRO83TXZMCSm,6f4mqM3RNAfO1t6XeeUa8P,"""Cobwebs And Strange""",0.3552492046659597,0.9065326633165828,0.4545454545454546,0.3319796954314721,1.0,0.38385901756001584,0.31921824104234525,0.7705816474849286,0.04766734279918864,0.20301507537688449,0.8,0.27868852459016386,0.0,0.0
